ranked languages,root language,second language,word,word count
"Greek,Old French,French",Greek,Old French,together,31
,,,—well,31
,,,alone,30
,,,blazes,30
French,French,,change,30
"Greek,Latin,Old French,French",Greek,Latin,child,30
"Irish,Germanic,English,Greek,German,Old French,Welsh,French,Old English,Sanskrit,Latin,Old Norse,Norse,American English,Old Irish",Irish,Germanic,ear,30
,,,eglinton,30
"Old French,Greek,French",Old French,Greek,fell,30
"Sanskrit,Old Norse,Old French,French,Latin,Greek,Norse",Sanskrit,Old Norse,forth,30
,,,heavy,30
,,,m'coy,30
,,,moved,30
"Old Norse,Norse,Latin,Old French,French,Greek,Sanskrit",Old Norse,Norse,priest,30
,,,raised,30
French,French,,sailor,30
"Latin,Norse,French,Old French,Greek,Sanskrit",Latin,Norse,thanks,30
French,French,,try,30
,,,turning,30
,,,zoe,30
"French,Old French,Greek",French,Old French,among,29
"French,Old French",French,Old French,anyhow,29
,,,edy,29
French,French,,evening,29
,,,im,29
French,French,,nor,29
,,,nosey,29
French,French,,often,29
,,,paddy,29
,,,rock,29
,,,shillings,29
"German,Norse,Old French,Greek,Germanic,French,Sanskrit,Latin,Old Norse",German,Norse,wrong,29
,,,wyse,29
,,,—is,29
,,,—no,29
,,,2,28
,,,children,28
,,,gaze,28
"French,Old French",French,Old French,hotel,28
"Norse,Greek,Sanskrit,Old French,French,Latin,Old Norse",Norse,Greek,live,28
,,,married,28
"Latin,Old French,French,Greek",Latin,Old French,milk,28
"French,Old French",French,Old French,possible,28
"Sanskrit,Norse,Latin,Old French,French,Greek,Old Norse",Sanskrit,Norse,queen,28
,,,really,28
,,,running,28
,,,stopped,28
,,,tommy,28
"Latin,Old French,French,Greek",Latin,Old French,above,27
"French,Greek,Old French,Latin,Sanskrit,Norse",French,Greek,act,27
"French,Old French,Greek",French,Old French,beauty,27
,,,burke,27
"Greek,Old French,French,Latin",Greek,Old French,care,27
"Greek,Old French,French,Latin",Greek,Old French,cut,27
"French,Old French",French,Old French,different,27
French,French,,field,27
,,,find,27
,,,gently,27
,,,glass,27
"Norse,Sanskrit,Old French,French,Greek,Latin,Old Norse",Norse,Sanskrit,grave,27
"Norse,Latin,Old French,French,Greek,Sanskrit",Norse,Latin,hall,27
,,,hee,27
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,hold,27
"Old French,French",Old French,French,jack,27
