ranked languages,root language,second language,word,word count
"Old Norse,Greek,Norse,Old French,French,Sanskrit,Latin,German",Old Norse,Greek,saw,49
French,French,,these,49
,,,browne,48
French,French,,just,48
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,own,48
"Old French,French",Old French,French,much,47
"Sanskrit,Old French,French,Greek,Latin,Norse",Sanskrit,Old French,must,47
"French,Old French,Sanskrit,Norse,Greek,Latin",French,Old French,people,47
"Greek,Old French,French",Greek,Old French,together,47
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,why,47
"French,Greek,Old French,German,Germanic,Norse,Old Norse,Sanskrit,Latin",French,Greek,boy,46
,,,going,46
,,,dark,45
"Germanic,English,German,Old Norse,Old French,French,Greek,Norse,Sanskrit,Latin",Germanic,English,day,45
,,,o'connor,45
"Old French,French",Old French,French,once,45
"Old French,Latin,Greek,French,Norse,Sanskrit",Old French,Latin,take,45
"Old Irish,English,American English,Germanic,German,Old Norse,Old French,French,Irish,Welsh,Greek,Latin,Norse,Sanskrit,Old English",Old Irish,English,three,45
"French,Old French",French,Old French,woman,45
French,French,,because,44
"French,Old French",French,Old French,course,44
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,end,44
French,French,,evening,44
"Latin,Old French,French,Greek",Latin,Old French,last,44
,,,under,44
,,,walked,44
French,French,,another,43
,,,brought,43
"Old French,French",Old French,French,fire,43
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,let,43
"Norse,Old French,French,Germanic,German,Greek,Latin,Sanskrit,Old Norse",Norse,Old French,many,43
"French,Old French",French,Old French,chandler,42
,,,its,42
"German,Sanskrit,Norse,Latin,French,Old French,Greek,Old Norse",German,Sanskrit,left,42
,,,maria,42
"Norse,Old Norse,Sanskrit,Greek,Latin,Old French,English,French,Germanic,German",Norse,Old Norse,mind,42
,,,called,41
"Old French,French",Old French,French,make,41
,,,against,40
,,,air,40
French,French,,poor,40
,,,re,40
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,wife,40
,,,dublin,39
French,French,,friend,39
,,,got,39
,,,holohan,39
"Norse,Old French,French,Greek,Sanskrit,Latin",Norse,Old French,look,39
,,,malins,39
"French,Old French,Sanskrit,Greek,Latin",French,Old French,moment,39
,,,mother,39
,,,passed,39
,,,d,38
,,,gone,38
"Latin,Greek,Old French,French",Latin,Greek,hat,38
,,,ignatius,38
"French,Old French",French,Old French,saying,38
"Germanic,English,German,Latin,Old Norse,Old French,French,Old English,Greek,Sanskrit,Norse,American English",Germanic,English,will,38
,,,found,37
"English,American English,Germanic,German,Sanskrit,Old French,French,Irish,Greek,Latin,Old Norse,Norse,Welsh,Old English",English,American English,name,37
French,French,,slowly,37
"French,Old French,Greek",French,Old French,sure,37
,,,children,36
"English,American English,German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,Germanic",English,American English,daughter,36
,,,joe,36
French,French,,might,36
"French,Old French",French,Old French,office,36
French,French,,white,36
"Old French,French",Old French,French,ever,35
"English,American English,Germanic,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit,German",English,American English,god,35
"Norse,Latin,Old French,French,Greek,Sanskrit",Norse,Latin,hall,35
"Latin,Old French,French,Greek",Latin,Old French,than,35
,,,years,35
,,,freddy,34
"Greek,Old French,French",Greek,Old French,girl,34
"French,Greek,Old French,Latin,Sanskrit,Norse",French,Greek,part,34
"Latin,French,Sanskrit,Greek,Old French",Latin,French,window,34
"German,American English,Norse,Old Norse,Old French,French,Germanic,Greek,Latin,Sanskrit,English",German,American English,world,34
"Sanskrit,Norse,Old French,French,Latin,Greek",Sanskrit,Norse,better,33
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,even,33
,,,has,33
"German,Germanic,Sanskrit,Old Norse,Old French,French,American English,English,Greek,Latin,Norse,Old English,Welsh",German,Germanic,heart,33
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,lay,33
,,,seen,33
"Norse,Old French,French,Greek,Latin,Sanskrit",Norse,Old French,spoke,33
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,can,32
"Old French,French",Old French,French,corner,32
,,,glass,32
,,,ladies,32
,,,m'coy,32
French,French,,morning,32
French,French,,perhaps,32
French,French,,those,32
,,,without,32
French,French,,behind,31
,,,cold,31
"Latin,Old French,Greek,French,Sanskrit",Latin,Old French,fellow,31
,,,gave,31
,,,gentlemen,31
,,,laughed,31
,,,lenehan,31
"French,Old Norse,Old French,Sanskrit,Norse,Greek,Latin",French,Old Norse,music,31
"Latin,Old Norse,Old French,French,Greek,Norse,Sanskrit",Latin,Old Norse,side,31
,,,small,31
,,,answered,30
French,French,,between,30
"Sanskrit,Latin,Old French,Greek,French",Sanskrit,Latin,body,30
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,hear,30
"German,English,Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin,Germanic",German,English,thing,30
,,,tried,30
,,,being,29
"French,Old French,Norse,Sanskrit,Latin,Greek",French,Old French,city,29
French,French,,each,29
,,,four,29
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,full,29
French,French,,often,29
,,,alleyne,28
"Old French,French,Greek",Old French,French,also,28
"Old French,French",Old French,French,business,28
,,,done,28
,,,everyone,28
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,give,28
,,,looking,28
"French,Old French",French,Old French,nice,28
,,,standing,28
,,,words,28
French,French,,black,27
,,,boys,27
,,,find,27
,,,held,27
French,French,,open,27
,,,opened,27
French,French,,quickly,27
,,,silence,27
French,French,,beside,26
,,,continued,26
,,,d'arcy,26
,,,herself,26
,,,ivors,26
,,,jimmy,26
"Old French,French",Old French,French,near,26
,,,ran,26
"Latin,Greek,Old French,Old Norse,French,German,Germanic,Sanskrit,Norse",Latin,Greek,school,26
,,,should,26
,,,sir,26
,,,stairs,26
"Old French,French",Old French,French,anything,25
French,French,,big,25
,,,farrington,25
,,,husband,25
French,French,,minutes,25
"Germanic,Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Germanic,Sanskrit,mouth,25
,,,others,25
French,French,,silent,25
"French,Norse,Old French,Greek,Sanskrit,Latin",French,Norse,until,25
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,bad,24
"Greek,Latin,Old French,French",Greek,Latin,child,24
,,,coming,24
"German,Germanic,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Germanic,enough,24
"French,Old French",French,Old French,fine,24
,,,glanced,24
,,,gretta,24
,,,hynes,24
"German,Germanic,Old Norse,Old French,Sanskrit,Greek,French,English,Latin,Norse,American English",German,Germanic,same,24
"Greek,Old Norse,Old French,French,Latin,Sanskrit,Norse",Greek,Old Norse,set,24
,,,shook,24
,,,shop,24
,,,wo,24
"German,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Old Norse,word,24
"Norse,German,Old French,French,Greek,Latin,Sanskrit,Old Norse",Norse,German,work,24
French,French,,across,23
,,,brown,23
,,,feel,23
,,,followed,23
"German,Latin,Sanskrit,Old French,French,Greek,Norse,Old Norse",German,Latin,hair,23
,,,irish,23
,,,mahony,23
"Germanic,American English,German,Old Norse,Old French,French,Latin,Greek,Norse,Sanskrit,English",Germanic,American English,may,23
,,,met,23
,,,nearly,23
"French,Old French",French,Old French,piano,23
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,play,23
French,French,,quite,23
,,,talk,23
,,,wanted,23
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",German,Old Norse,ask,22
,,,church,22
"French,Old French,Latin,Greek",French,Old French,country,22
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,dead,22
,,,girls,22
"Greek,Old French,French",Greek,Old French,keep,22
French,French,,lady,22
"Germanic,German,Greek,Old Norse,Old French,French,Norse,Sanskrit,Latin",Germanic,German,late,22
"Norse,German,Sanskrit,Old French,French,Latin,Greek,Old Norse",Norse,German,leave,22
"Norse,Greek,Sanskrit,Old French,French,Latin,Old Norse",Norse,Greek,live,22
"Norse,Old French,French,Germanic,German,Latin,Greek,Sanskrit,Old Norse",Norse,Old French,mean,22
"English,Welsh,German,Old Norse,Old French,French,Old Irish,Irish,Greek,Latin,Norse,Sanskrit,Old English,American English,Germanic",English,Welsh,new,22
,,,read,22
,,,really,22
"Old Norse,Old French,French,Latin,Greek,Norse,Sanskrit",Old Norse,Old French,road,22
,,,talking,22
,,,things,22
,,,though,22
French,French,,bed,21
,,,bottle,21
"French,Old French,Latin,Greek,Norse,Sanskrit",French,Old French,car,21
,,,caught,21
"French,Old French",French,Old French,company,21
,,,drank,21
"Latin,Norse,Old Norse,French,Old French,Greek,Sanskrit",Latin,Norse,far,21
,,,gentleman,21
"Old French,French",Old French,French,jack,21
"French,Old French",French,Old French,large,21
"French,Old French",French,Old French,noise,21
"French,Greek,Old French",French,Greek,person,21
,,,sent,21
French,French,,short,21
"Sanskrit,Old French,Norse,French,Latin,Greek",Sanskrit,Old French,soon,21
,,,stout,21
,,,times,21
,,,wore,21
"German,English,Sanskrit,Latin,Old French,French,Greek,Norse,Old Norse,Germanic",German,English,year,21
"Greek,Latin,French,Old French",Greek,Latin,yet,21
"French,Old French,Latin,Greek",French,Old French,certain,20
,,,cried,20
"Old French,Greek,French",Old French,Greek,fell,20
,,,good-night,20
,,,grey,20
,,,having,20
,,,kept,20
,,,laughing,20
,,,taken,20
"Old French,Latin,Greek,Sanskrit,French",Old French,Latin,turn,20
,,,walking,20
"French,Old French",French,Old French,want,20
French,French,,answer,19
"English,American English,Germanic,Old Norse,Norse,Old French,French,Greek,German,Sanskrit,Latin",English,American English,arm,19
,,,arms,19
,,,bottles,19
,,,closed,19
,,,does,19
,,,dress,19
"German,Germanic,Old Norse,Norse,Old French,French,English,Greek,Latin,Sanskrit,Old English,American English",German,Germanic,drink,19
"French,Greek,Old French,Sanskrit,Latin",French,Greek,hour,19
French,French,,point,19
"English,Germanic,American English,Greek,German,Old French,Old Frisian,French,Old Saxon,Old Irish,Latin,Sanskrit,Old Norse,Norse,Irish,Old English,Welsh",English,Germanic,red,19
"French,Old French,Greek",French,Old French,remember,19
,,,sitting,19
,,,smiling,19
,,,sometimes,19
,,,soul,19
,,,ve,19
"Latin,Old French,French,Greek",Latin,Old French,above,18
,,,ah,18
"German,Old Norse,Old French,Germanic,French,Latin,Greek,Norse,Sanskrit",German,Old Norse,best,18
,,,blue,18
"English,Old Norse,Norse,Old French,Sanskrit,Greek,French,Germanic,Latin,German",English,Old Norse,call,18
"Old French,French",Old French,French,case,18
"French,Greek,Latin,Old French",French,Greek,concert,18
,,,crofton,18
,,,crowd,18
,,,feet,18
"Germanic,English,German,Norse,Old Norse,Old French,Old English,French,Latin,Greek,Sanskrit,American English",Germanic,English,five,18
French,French,,floor,18
"French,Old French",French,Old French,front,18
"Old Norse,Sanskrit,Norse,Old French,German,French,Greek,Latin",Old Norse,Sanskrit,hard,18
,,,high,18
"Greek,Latin,Old French,French",Greek,Latin,laughter,18
"Greek,Old French,French",Greek,Old French,love,18
,,,moments,18
,,,played,18
,,,remembered,18
"Germanic,English,Old Irish,German,Latin,Old French,French,Old English,American English,Greek,Sanskrit,Old Norse,Norse,Irish,Welsh",Germanic,English,snow,18
"Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,German,speak,18
"Old French,Sanskrit,Greek,French,Latin",Old French,Sanskrit,till,18
,,,tom,18
,,,waited,18
,,,waiting,18
,,,watched,18
"Old Norse,German,Norse,Latin,Sanskrit,Old French,French,Greek,Germanic",Old Norse,German,whether,18
,,,wished,18
,,,women,18
"Latin,Sanskrit,Norse,Old French,Old Norse,German,French,Greek",Latin,Sanskrit,am,17
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,Germanic",Latin,German,bit,17
,,,both,17
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,bring,17
,,,chair,17
,,,conroy,17
,,,days,17
"French,Greek,Old French",French,Greek,figure,17
,,,glasses,17
French,French,,green,17
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,hot,17
,,,mooney,17
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,most,17
,,,moustache,17
,,,returned,17
"Old French,French",Old French,French,seeing,17
,,,sight,17
,,,stopped,17
,,,tone,17
French,French,,warm,17
"French,Old French",French,Old French,bar,16
,,,beautiful,16
,,,clerk,16
"French,Old French",French,Old French,conversation,16
"Old French,French,Greek",Old French,French,desk,16
,,,falling,16
,,,filled,16
,,,fitzpatrick,16
,,,fogarty,16
,,,half,16
,,,kathleen,16
,,,meet,16
,,,order,16
,,,paper,16
"French,Greek,Old French",French,Greek,party,16
,,,polly,16
"Greek,Old French,French",Greek,Old French,pope,16
"Old Norse,Norse,Latin,Old French,French,Greek,Sanskrit",Old Norse,Norse,priest,16
"Old Saxon,Old Irish,English,Germanic,Old French,German,Greek,French,Irish,Welsh,Latin,Sanskrit,Old Norse,Norse,Old English,American English",Old Saxon,Old Irish,sister,16
,,,smiled,16
,,,suddenly,16
"French,Old French,Greek",French,Old French,tenor,16
French,French,,tram,16
"Old French,French,Latin,Greek",Old French,French,twice,16
French,French,,whose,16
"French,Old French,Greek,Latin",French,Old French,age,15
,,,bartell,15
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,believe,15
,,,books,15
"French,Greek,Old Norse,Norse,Sanskrit,Latin,Old French",French,Greek,cab,15
,,,chap,15
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,death,15
"French,Old French",French,Old French,dinner,15
"French,Old French",French,Old French,expression,15
,,,gaze,15
,,,grew,15
,,,houses,15
"Sanskrit,Greek,Old French,Latin,German,French,Norse,Old Norse",Sanskrit,Greek,lily,15
,,,listening,15
"French,Old French,Greek,Latin",French,Old French,lit,15
,,,lived,15
,,,london,15
"French,Latin,Old French,Greek",French,Latin,matter,15
French,French,,nor,15
"Germanic,Old Norse,Greek,Norse,Old French,French,Latin,Sanskrit,German",Germanic,Old Norse,nose,15
"French,Old French,Sanskrit,Greek,Latin,Norse",French,Old French,piece,15
"French,Old French",French,Old French,question,15
,,,repeated,15
,,,says,15
"French,Old French",French,Old French,second,15
"French,Old French,Latin,Greek",French,Old French,serious,15
,,,sing,15
"Latin,French,Old French,Greek",Latin,French,smile,15
,,,surprised,15
,,,ten,15
French,French,,tonight,15
,,,walk,15
"German,Old Norse,Greek,Norse,Old French,French,Sanskrit,Latin",German,Old Norse,wish,15
French,French,,almost,14
,,,alone,14
"Greek,Old French,French",Greek,Old French,amid,14
"Latin,Old French,French,Greek",Latin,Old French,become,14
French,French,,beginning,14
"French,Old French",French,Old French,damn,14
French,French,,deal,14
,,,died,14
French,French,,field,14
,,,however,14
,,,leaned,14
,,,lips,14
,,,listened,14
"French,Latin,Old French,Greek,Norse,Old Norse,Sanskrit,German",French,Latin,memory,14
,,,morkan,14
French,French,,myself,14
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,next,14
,,,nodded,14
,,,paid,14
"French,Old French",French,Old French,pause,14
,,,playing,14
"Greek,Latin,Old French,French",Greek,Latin,rather,14
,,,reached,14
"French,Old French,Sanskrit,Greek,Latin",French,Old French,river,14
,,,sang,14
,,,shoulders,14
French,French,,since,14
,,,singing,14
"Norse,Old French,French,Greek,Latin,Sanskrit",Norse,Old French,speech,14
"Greek,Sanskrit,Old French,French,Latin,Norse",Greek,Sanskrit,stand,14
,,,streets,14
"French,Old French",French,Old French,suppose,14
French,French,,wall,14
,,,whisky,14
,,,ca,13
"French,Old French",French,Old French,contract,13
"French,Old French",French,Old French,copy,13
French,French,,counter,13
,,,dillon,13
"French,Old French,Greek",French,Old French,during,13
"Old Irish,Germanic,English,German,Sanskrit,Old Norse,Old French,French,American English,Greek,Latin,Norse,Old English,Irish,Welsh",Old Irish,Germanic,eight,13
,,,eliza,13
"Latin,Sanskrit,Greek,Old French,French",Latin,Sanskrit,else,13
,,,entered,13
,,,everything,13
French,French,,game,13
"French,Old French,Latin,Greek",French,Old French,hope,13
French,French,,itself,13
"Greek,Old French,French",Greek,Old French,kind,13
"Old French,French",Old French,French,least,13
,,,lyons,13
"French,Old French,Norse,Sanskrit,Greek,Latin",French,Old French,manner,13
French,French,,neither,13
,,,papers,13
,,,paris,13
,,,past,13
,,,pushed,13
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,ready,13
,,,remained,13
"Sanskrit,Norse,Old Norse,French,Latin,Greek,Old French",Sanskrit,Norse,run,13
,,,segouin,13
"Latin,French,Old French,Greek",Latin,French,shadow,13
"Latin,German,Old French,Germanic,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,sit,13
"Germanic,Greek,Norse,Old French,French,Latin,Sanskrit,German,Old Norse",Germanic,Greek,song,13
"French,Old French,Greek",French,Old French,square,13
,,,steps,13
"French,Old French",French,Old French,story,13
,,,thoughts,13
,,,tired,13
,,,tongue,13
,,,true,13
"Latin,Greek,Old French,Old Norse,Norse,French,Sanskrit",Latin,Greek,understand,13
,,,villona,13
,,,whenever,13
French,French,,accent,12
,,,added,12
"French,Old French",French,Old French,afraid,12
,,,allowed,12
"French,Old French,Greek",French,Old French,among,12
,,,artistes,12
,,,blood,12
French,French,,bridge,12
,,,burke,12
"French,Old French,Sanskrit,Norse,Greek,Latin",French,Old French,catch,12
"French,Old French,Greek,Latin",French,Old French,chief,12
,,,close,12
"French,Old French",French,Old French,college,12
,,,colour,12
"Old French,French,Greek",Old French,French,confused,12
"French,Old French,Greek,Latin",French,Old French,constable,12
